#(contextId, 'mapName', version, baseRegionId)  
#Foreas
(2051, 'adv_foreas_howlingmaw1', 379, 0) #Planet Foreas: Howling Maw
(2162, 'adv_foreas_howlingmaw_cuthahbase', 124, 0) #Planet Foreas: Howling Maw: Cuthah Base
(2136, 'adv_foreas_howlingmaw_deathburrow', 127, 0) #Planet Foreas: Valverde - Plateau (Velon Hollow)
#Arieki
##Arieki Torden
###Arieki Torden Mires
(1759, 'adv_arieki_torden_mires', 593, 0) #Planet Arieki: Torden - Mires Baylor Base -594,-742
(2107, 'adv_arieki_torden_mires_energyweaponcenter', 214, 0) #Planet Arieki: Torden - Mires (Energy Weapon Center)
(2115, 'adv_arieki_torden_mires_banefluxitemines', 204, 0) #Planet Arieki: Torden - Mires (Bane Fluxite Mines)
(2125, 'adv_arieki_torden_mires_tahrendrabase', 95, 0) #Planet Arieki: Torden - Mires (Tahrendra Base)
###Arieki Torden Plains
(1764, 'adv_arieki_torden_plains', 743, 0) #Planet Arieki: Torden - Plains
(1773, 'adv_arieki_torden_plains_attacolony', 259, 0) #Planet Arieki: Torden - Plains (Kardash Atta Colony)
(2034, 'adv_arieki_torden_plains_penalresearch', 229, 0) #Planet Arieki: Torden - Plains (Phanin Research Center)
(2093, 'adv_arieki_torden_plains_brannwaterrefinery', 156, 0) #Planet Arieki: Torden - Plains (Brann Water Refinery)
###Arieki Torden Incline
(1761, 'adv_arieki_torden_incline', 781, 0) #Planet Arieki: Torden - Incline
(1865, 'adv_arieki_torden_incline_ojasaattahive', 218, 0) #Planet Arieki: Torden - Incline (Ojasa Atta Hive) 
(2085, 'adv_arieki_torden_incline_commtower', 218, 0) #Planet Arieki: Torden - Incline (Comm Tower)
(2111, 'adv_arieki_torden_incline_wardenbotfactory', 127, 0) #Planet Arieki: Torden - Incline (Raksha Robotic Factory)
###Arieki Torden Abyss
(2028, 'adv_arieki_torden_abyss', 397, 0) #Planet Arieki: Torden - Abyss
(2155, 'adv_arieki_torden_abyss_tampei', 163, 0) #adv_arieki_torden_abyss_tampei
(2190, 'adv_arieki_torden_abyss_dybukkar', 169, 0) #adv_arieki_torden_abyss_dybukkar
(2203, 'adv_arieki_torden_abyss_omegalabs', 156, 0) #Planet Arieki: Torden - Abyss (Section 5: Omega Labs)
##Arieki Ligo
###Arieki Ligo Thunderhead
(1911, 'adv_arieki_ligo_thunderhead', 365, 2)#Planet Arieki: Ligo - Thunderhead 
(2112, 'adv_arieki_ligo_thunderhead_rivasaattacolony', 73, 0) #Planet Arieki: Ligo - Thunderhead (Rivasa Atta Colony)
(2103, 'adv_arieki_ligo_thunderhead_faultlever', 298, 0) #Planet Arieki: Ligo - Thunderhead (Fault Lever)
(2105, 'adv_arieki_ligo_thunderhead_quassostation', 259, 0) #Planet Arieki: Ligo - Thunderhead (Quasso Station)
###Arieki Ligo Ashen Desert
(1734, 'adv_arieki_ligo_ashendesert', 358, 0) #Planet Arieki: Ligo - Ashen Desert
(1988, 'adv_arieki_ligo_ashendesert_baneconscriptfacility', 254, 0) #Planet Arieki: Ligo - Ashen Desert (Bane Conscription Facility)
(2055, 'adv_arieki_ligo_ashendesert_indracaverns', 217, 0) #Planet Arieki: Ligo - Ashen Desert (Indra Caverns)
(2110, 'adv_arieki_ligo_ashendesert_avernusoutpost', 134, 0) #Planet Arieki: Ligo - Ashen Desert (Avernus Outpost)
###Arieki Ligo Burning Steps
(1993, 'adv_arieki_ligo_burningsteps', 384, 0) #Planet Arieki: Ligo - Crucible
(1977, 'adv_arieki_ligo_burningsteps_magmacaverns', 193, 0) #Planet Arieki: Torden Abyss (Magma Caverns)
###Arieki Ligo Staal Junkyard
(2138, 'adv_arieki_ligo_staaljunkyard', 173, 0) #Planet Arieki: Ligo - Crucible (Staal Junkyard)
###Arieki Ligo Crucible
(2141, 'adv_arieki_ligo_crucible_incurablesward', 199, 0) #Planet Arieki: Ligo - Crucible (Incurables Ward)
(2146, 'adv_arieki_ligo_crucible_wbfacility', 147, 0) #adv_arieki_ligo_crucible_wbfacility
#Empire Sector
(2375, 'adv_earth_unitedstates_manhattan_01_shared', 4, 0) #manhattan
(20000009, 'adv_afs_arena', 29, 0) #adv_afs_arena
##UNUSED##
(2371, 'adv_earth_unitedstates_newyorkcity', 0, 0) #adv_earth_unitedstates_newyorkcity
